Cohort,ID,Last_Name,First_Name,Gender,Category,Cohort_num,Status,Last_Degree,Last_GPA_Before_MSBA,Background,School,Higher_Education,Decision,Date_of_Birth,Age_when_Joined_Program,First_Nationality,GPA_Graduate,GPA,Letter_Grading,MSBA__Data_Thesis_2f_Capstone,EDU_grouped
Cohort 2,24,,,M,PT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Tuesday, January 9, 1990",28,Lebanese,85.11,3.7,A-,,AUB/LAU
Cohort 2,25,,,F,PT,2,Alumni,CCE,,Engineering,Universite Saint-Joseph (USJ),,Accepted Conditionally-GPA probation,"Thursday, January 7, 1988",30,Lebanese,92.75,4.3,A+,,Other
Cohort 2,26,,,F,PT,2,Alumni,CCE,,Engineering,American University of Beirut (AUB),,Accepted-special not working for a degree,"Tuesday, November 17, 1992",26,Lebanese,96,4.3,A+,,AUB/LAU
Cohort 2,27,,,M,PT,2,Alumni,Actuarial Science \ Mathematics,,Math/science,Universite Saint-Esprit de Kaslik (USEK),,Accepted Conditionally-GPA probation,"Thursday, June 11, 1987",31,Lebanese,88.55,4,A,,Other
Cohort 2,28,,,F,PT,2,Alumni,Food Science,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Wednesday, August 15, 1990",28,Lebanese,85.55,3.7,A-,,AUB/LAU
Cohort 2,29,,,F,PT,2,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, April 26, 1985",33,Lebanese,91.33,4,A,,AUB/LAU
Cohort 2,30,,,F,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,Beirut Arab University (BAU),,Accepted Unconditionally,"Friday, May 1, 1998",20,Lebanese,84.88,3.7,A-,,Other
Cohort 2,31,,,M,FT,2,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, November 15, 1994",24,Lebanese,90.5,4,A,,AUB/LAU
Cohort 2,32,,,F,FT,2,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, January 1, 1982",36,Lebanese,89.88,4,A,,AUB/LAU
Cohort 2,33,,,F,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Thursday, June 10, 1993",25,Lebanese,94.88,4,A,,AUB/LAU
Cohort 2,34,,,F,PT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, January 21, 1989",29,Lebanese,87.44,4,A,,AUB/LAU
Cohort 2,35,,,F,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, December 22, 1997",21,Lebanese,92.88,4.3,A+,,AUB/LAU
Cohort 2,36,,,F,PT,2,Alumni,CCE,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,"Sunday, September 30, 1990",28,Lebanese,93.33,4.3,A+,,AUB/LAU
Cohort 2,37,,,M,PT,2,Alumni,Information Technology,,MIS/Computer Science/IT,Lebanese University (LU),,Accepted Conditionally-GPA probation,"Saturday, December 9, 1978",40,Lebanese,87.15,4,A,,Other
Cohort 2,38,,,M,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, March 19, 1996",22,Lebanese,90.11,4,A,,AUB/LAU
Cohort 2,39,,,F,PT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, May 7, 1990",28,Lebanese,89.77,4,A,,AUB/LAU
Cohort 3,40,,,M,FT,3,Alumni,Civil & Environmenal Engineering,,Engineering,University of Balamand (UOB),,Accepted Conditionally-GPA probation,"Saturday, November 11, 1995",24,Lebanon,3.78,3.78,A-,,Other
Cohort 3,41,,,M,PT,3,Alumni,Chemistry,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, April 13, 1993",26,Lebanon,3.8,3.8,A,,AUB/LAU
Cohort 3,42,,,F,PT,3,Alumni,Nursing,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Unconditionally,"Monday, April 29, 1974",45,Lebanon,87,3.48,B+,,AUB/LAU
Cohort 3,43,,,M,FT,3,Alumni,BBA,,Business/Economics/Accounting/Finance,Universite Saint-Esprit de Kaslik (USEK),,Accepted Conditionally-GPA probation,"Monday, March 1, 1993",26,Lebanon,3.79,3.79,A-,,Other
Cohort 3,44,,,M,PT,3,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, May 27, 1996",23,Lebanon,3.92,3.92,A,,AUB/LAU
Cohort 3,45,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Saturday, July 30, 1994",25,Lebanon,3.93,3.93,A,,Other
Cohort 3,46,,,M,FT,3,Alumni,Math,,Math/science,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Friday, July 7, 1995",24,Lebanon,3.76,3.76,A-,,AUB/LAU
Cohort 3,47,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Thursday, August 12, 1993",26,Lebanon,3.77,3.77,A-,,AUB/LAU
Cohort 3,48,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, August 15, 1997",22,Yemen,3.76,3.76,A-,,AUB/LAU
Cohort 3,49,,,M,FT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, May 27, 1998",21,Lebanon,3.68,3.68,A-,,AUB/LAU
Cohort 3,50,,,M,FT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Tuesday, November 25, 1997",22,Lebanon,3.93,3.93,A-,,Other
Cohort 3,51,,,M,FT,3,Active,Physics,,Math/science,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, November 3, 1997",22,Lebanon,3.34,3.34,B+,,AUB/LAU
Cohort 3,52,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Wednesday, December 21, 1994",25,Lebanon,3.83,3.83,A,,Other
Cohort 3,53,,,M,PT,3,Dropped,Physics,,Math/science,Lebanese American University (LAU),,Accepted Unconditionally,"Friday, June 20, 1997",22,Lebanon,68.25,2.73,B-,,AUB/LAU
Cohort 3,54,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, April 15, 1995",24,Lebanon,3.86,3.86,A,,AUB/LAU
Cohort 3,55,,,M,FT,3,Alumni,Double Major in Economic and Political Science,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Tuesday, April 8, 1997",22,Lebanon,4,4,A,,AUB/LAU
Cohort 3,56,,,M,FT,3,Alumni,BBA,,Business/Economics/Accounting/Finance,Universite Saint-Joseph (USJ),,Accepted Conditionally-GPA probation,"Thursday, June 18, 1998",26,Lebanon,4.04,4.04,A,,Other
Cohort 3,57,,,M,PT,3,Alumni,Telecommunications,,Engineering,Lebanese American University (LAU),,Accepted Unconditionally,"Thursday, November 30, 1995",24,Lebanon,3.77,3.77,A-,,AUB/LAU
Cohort 3,58,,,F,PT,3,Alumni,CCE,,Engineering,University of Balamand (UOB),,Accepted Unconditionally,"Tuesday, May 11, 1982",37,Lebanon,4.25,4.25,A+,,Other
Cohort 3,59,,,F,FT,3,Alumni,Economics,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,"Thursday, October 2, 1997",22,Lebanon,3.86,3.86,A,,Other
Cohort 3,60,,,M,FT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, November 20, 1998",21,Lebanon,3.95,3.95,A+,,AUB/LAU
Cohort 3,61,,,F,PT,3,Alumni,Applied Mathematics,,Math/science,Beirut Arab University (BAU),,Accepted Unconditionally,"Tuesday, September 29, 1998",21,Lebanon,3.9,3.9,A+,,Other
Cohort 3,62,,,M,FT,3,Alumni,Industrial Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,"Sunday, September 15, 1996",23,Lebanon,3.93,3.93,A+,,AUB/LAU
Cohort 3,63,,,F,PT,3,Alumni,Petroleum Studies,,Math/science,Notre Dame University Louaize (NDU),,Accepted Conditionally-GPA probation,"Saturday, April 17, 1993",26,Lebanon,3.9,3.9,A+,,Other
Cohort 3,64,,,F,PT,3,Alumni,Actuarial Science,,Math/science,Lebanese American University (LAU),,Accepted Unconditionally,"Friday, June 21, 1996",23,Lebanon,3.72,3.72,A-,,AUB/LAU
Cohort 3,65,,,M,FT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,University of Balamand (UOB),,Accepted Unconditionally,"Thursday, April 27, 1995",24,Lebanon,3.66,3.66,B+,,Other
Cohort 3,66,,,F,FT,3,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Monday, September 7, 1998",21,Lebanon,3.93,3.93,A,,Other
Cohort 3,67,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, October 2, 1998",21,Lebanon,3.72,3.72,A-,,AUB/LAU
Cohort 3,68,,,F,FT,3,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, July 7, 1997",22,Ukraine,4,4,A,,AUB/LAU
Cohort 3,69,,,F,FT,3,Alumni,ECE,,Engineering,Lebanese American University (LAU),,Accepted Unconditionally,"Monday, April 15, 1991",28,Lebanon,4.24,4.24,A+,,AUB/LAU
Cohort 3,70,,,F,PT,3,Alumni,Economics,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Friday, November 25, 1994",25,Lebanon,3.8,3.8,A,,Other
Cohort 3,71,,,F,PT,3,Alumni,CCE,,Engineering,Lebanese American University (LAU),,Accepted Unconditionally,"Sunday, August 1, 1982",37,Lebanon,4.19,4.19,A+,,AUB/LAU
Cohort 3,72,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Tuesday, September 3, 1996",23,Lebanon,3.86,3.86,A,,AUB/LAU
Cohort 3,73,,,M,FT,3,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, November 1, 1996",23,Lebanon,3.42,3.42,A-,,AUB/LAU
Cohort 3,74,,,F,FT,3,Alumni,Petroleum Studies,,Math/science,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, January 29, 1999",20,Lebanon,3.76,3.76,A-,,AUB/LAU
Cohort 3,75,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, March 10, 1997",22,Lebanon,3.74,3.74,A-,,AUB/LAU
Cohort 3,76,,,M,FT,3,Alumni,Mechanical Engineering,,Engineering,"Arts, Sciences and Technology University in Lebanon (AUL)",,Accepted Unconditionally,"Thursday, December 11, 1997",22,Lebanon,3.96,3.96,A,,Other
Cohort 3,77,,,M,PT,3,Alumni,CCE,,Engineering,"Arts, Sciences and Technology University in Lebanon (AUL)",,Accepted Unconditionally,"Friday, January 10, 1992",27,Lebanon,3.62,3.62,B+,,Other
Cohort 3,78,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese University (LU),,Accepted Unconditionally,"Sunday, June 20, 1993",26,Lebanon,4.02,4.02,A,,Other
Cohort 3,79,,,F,PT,3,Alumni,Graphic Design,,"Other (Food science, Nursing, Graphic Design..)",ESA Business School,,Accepted Unconditionally,"Friday, July 12, 1991",28,Lebanon,3.22,3.22,B,,Other
Cohort 3,80,,,F,PT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Friday, September 25, 1998",21,Lebanon,3.58,3.58,B+,,AUB/LAU
Cohort 3,81,,,M,FT,3,Alumni,Management Information System,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, October 17, 1998",21,Lebanon,3.59,3.59,B+,,AUB/LAU
Cohort 3,82,,,F,FT,3,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Thursday, March 19, 1998",21,Lebanon,4.03,4.03,A,,AUB/LAU
Cohort 4,83,,,F,PT,4,Alumni,Computer Science,,MIS/Computer Science/IT,"Arts, Sciences and Technology University in Lebanon (AUL)",,Accepted-special not working for a degree,,30,Palestine,3.58,3.58,B+,,Other
Cohort 4,84,,,F,FT,4,Alumni,Civil & Environmenal Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,,23,Lebanon,4,4,A,,AUB/LAU
Cohort 4,85,,,M,FT,4,Alumni,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,27,Lebanon,3.5,3.5,B+,,AUB/LAU
Cohort 4,86,,,M,PT,4,Active,Networks and Security,,Engineering,Arab Open University (AOU),,Accepted Unconditionally,,40,Lebanon,3.37,3.37,B+,,Other
Cohort 4,87,,,F,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,,29,Lebanon,3.92,3.92,A,,Other
Cohort 4,88,,,M,PT,4,Alumni,MFIN | BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,24,Lebanon,88.1,3.43,B+,,AUB/LAU
Cohort 4,89,,,F,FT,4,Alumni,Economics,,Business/Economics/Accounting/Finance,Universite Saint-Joseph (USJ),,Accepted Unconditionally,,22,Lebanon,3.9,3.9,A,,Other
Cohort 4,90,,,F,FT,4,Alumni,CCE,,Engineering,Universite Saint-Joseph (USJ),,Accepted Unconditionally,,28,Lebanon,3.96,3.96,A,,Other
Cohort 4,91,,,F,FT,4,Alumni,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Notre Dame University Louaize (NDU),,Accepted Unconditionally,,21,Lebanon,3.7,3.7,A-,,Other
Cohort 4,92,,,M,PT,4,Dropped,Civil & Environmenal Engineering,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,49,Lebanon,2.15,2.15,C,,AUB/LAU
Cohort 4,93,,,F,PT,4,Alumni,ECE,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,24,Lebanon,4.06,4.06,A,,AUB/LAU
Cohort 4,94,,,F,PT,4,Active,MIS | Master MIS,,MIS/Computer Science/IT,Lebanese University (LU),,Accepted Unconditionally,,35,Lebanon,3.76,3.76,A-,,Other
Cohort 4,95,,,M,FT,4,Alumni,Mechanical Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,,22,Lebanon,4.03,4.03,A,,AUB/LAU
Cohort 4,96,,,M,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.84,3.84,A,,AUB/LAU
Cohort 4,97,,,M,PT,4,Alumni,Pharmacy,,"Other (Food science, Nursing, Graphic Design..)",Beirut Arab University (BAU),,Accepted Conditionally-GPA probation,,25,Lebanon,3.25,3.25,B,,Other
Cohort 4,98,,,M,FT,4,Alumni,Mechanical Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,,22,Lebanon,4.15,4.15,A+,,AUB/LAU
Cohort 4,99,,,M,FT,4,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Unconditionally,,23,Syria,3.52,3.52,B+,,AUB/LAU
Cohort 4,100,,,M,FT,4,Alumni,Nursing,,"Other (Food science, Nursing, Graphic Design..)",American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.96,3.96,A,,AUB/LAU
Cohort 4,101,,,M,FT,4,Alumni,Telecommunications,,Engineering,Lebanese University (LU),,Accepted Unconditionally,,31,Lebanon,4.21,4.21,A+,,Other
Cohort 4,102,,,M,FT,4,Alumni,Computer Science,,MIS/Computer Science/IT,Notre Dame University Louaize (NDU),,Accepted Unconditionally,,23,Lebanon,4,4,A,,Other
Cohort 4,103,,,M,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,University of Balamand (UOB),,Accepted Conditionally-GPA probation,,26,Lebanon,3.91,3.91,A-,,Other
Cohort 4,104,,,M,PT,4,Alumni,BBA | MBA,,Business/Economics/Accounting/Finance,Universite Saint-Esprit de Kaslik (USEK),,Accepted Conditionally-GPA probation,,41,Lebanon,3.77,3.77,A-,,Other
Cohort 4,105,,,M,FT,4,Alumni,CCE,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,22,Lebanon,3.69,3.69,A-,,AUB/LAU
Cohort 4,106,,,F,FT,4,Alumni,Actuarial Science,,Math/science,Notre Dame University Louaize (NDU),,Accepted Unconditionally,,21,Lebanon,4.09,4.09,A,,Other
Cohort 4,107,,,M,FT,4,Active,BBA,,Business/Economics/Accounting/Finance,Universite Saint-Joseph (USJ),,Accepted Unconditionally,,21,Lebanon,3.67,3.67,A-,,Other
Cohort 4,108,,,M,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,University of Balamand (UOB),,Accepted Conditionally-GPA probation,,26,Lebanon,3.88,3.88,A,,Other
Cohort 4,109,,,M,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,23,Lebanon,3.45,3.45,B+,,AUB/LAU
Cohort 4,110,,,M,FT,4,Active,Mathematics,,Math/science,Universite Saint-Joseph (USJ),,Accepted Unconditionally,,21,Lebanon,4.07,4.07,A,,Other
Cohort 4,111,,,F,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,4,4,A,,AUB/LAU
Cohort 4,113,,,F,PT,4,Alumni,Communication & Electrical Engineering,,Engineering,Lebanese University (LU),,Accepted Unconditionally,,37,Lebanon,3.71,3.71,A-,,Other
Cohort 4,114,,,F,FT,4,Alumni,ECE,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,25,Lebanon,4,4,A,,AUB/LAU
Cohort 4,115,,,F,FT,4,Alumni,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.84,3.84,A,,AUB/LAU
Cohort 4,116,,,F,PT,4,Alumni,Economics,,Business/Economics/Accounting/Finance,Al-Qasimia University,,Accepted Unconditionally,,26,Syria,3.66,3.66,B+,,Other
Cohort 4,117,,,M,PT,4,Alumni,ME | Master ME,,Engineering,Rafic Hariri University (RHU),,Accepted Unconditionally,,28,Lebanon,3.85,3.85,A,,Other
Cohort 4,118,,,F,PT,4,Dropped,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,,21,Lebanon,3.35,3.35,B+,,AUB/LAU
Cohort 4,119,,,F,FT,4,Alumni,Economics,,Business/Economics/Accounting/Finance,Damascus University,,Accepted Unconditionally,,32,Syria,3.88,3.88,A,,Other
Cohort 4,120,,,F,PT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,4.03,4.03,A,,AUB/LAU
Cohort 4,121,,,M,FT,4,Alumni,Industrial Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,,22,Lebanon,4.02,4.02,A,,AUB/LAU
Cohort 4,122,,,M,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted-special not working for a degree,,23,Lebanon,3.87,3.87,A,,AUB/LAU
Cohort 4,123,,,M,PT,4,Active,BBA | MBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,55,Lebanon,4.15,4.15,A+,,AUB/LAU
Cohort 4,124,,,M,FT,4,Alumni,Finance,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,20,Canada,3.96,3.96,A,,AUB/LAU
Cohort 4,125,,,F,FT,4,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.81,3.81,A,,AUB/LAU
Cohort 4,126,,,M,PT,4,Alumni,Actuarial Science,,Math/science,Notre Dame University Louaize (NDU),,Accepted Unconditionally,,28,Lebanon,3.81,3.81,A,,Other
Cohort 4,127,,,F,PT,4,Active,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,24,Lebanon,3.82,3.82,A,,AUB/LAU
Cohort 4,128,,,M,FT,4,Active,Business/Accounting/Finance/Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,25,Lebanon,3.81,3.81,A,,AUB/LAU
Cohort 4,129,,,F,PT,4,Dropped,BBA,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,,23,Syria,3.7,3.7,A-,,AUB/LAU
Cohort 4,130,,,F,FT,4,Alumni,Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.77,3.77,A-,,AUB/LAU
Cohort 4,131,,,F,FT,4,Alumni,Marketing,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,,21,Lebanon,3.73,3.73,A-,,AUB/LAU
Cohort 4,132,,,M,FT,4,Alumni,Industrial Engineering,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,,21,Lebanon,3.87,3.87,A,,AUB/LAU
Cohort 4,133,,,M,PT,4,Active,Philosophy,,"Other (Food science, Nursing, Graphic Design..)",University of Maryland,,Accepted Conditionally-GPA probation,,27,Lebanon,3.55,3.55,B+,,Other
